store_nbr,family,week,sales,onpromotion,oil_price,city,state,type,cluster,holiday_count,has_holiday
3,DAIRY,2012-12-31,7209.0,0,93.09400000000001,Quito,Pichincha,D,8,4.0,1.0
3,DAIRY,2013-01-07,8149.0,0,93.44285714285715,Quito,Pichincha,D,8,1.0,1.0
3,DAIRY,2013-01-14,8202.0,0,94.87571428571428,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-01-21,7788.0,0,95.36571428571429,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-01-28,8049.0,0,97.36857142857143,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-02-04,6960.0,0,96.04285714285713,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-02-11,8405.0,0,96.66714285714286,Quito,Pichincha,D,8,2.0,1.0
3,DAIRY,2013-02-18,8105.0,0,94.24428571428572,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-02-25,8704.0,0,91.76714285714286,Quito,Pichincha,D,8,1.0,1.0
3,DAIRY,2013-03-04,8459.0,0,91.29142857142857,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-03-11,8325.0,0,92.92571428571429,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-03-18,8943.0,0,93.14999999999999,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-03-25,9343.0,0,96.57571428571428,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-04-01,9394.0,0,94.41285714285713,Quito,Pichincha,D,8,1.0,1.0
3,DAIRY,2013-04-08,8097.0,0,92.75142857142858,Quito,Pichincha,D,8,2.0,1.0
3,DAIRY,2013-04-15,8631.0,0,88.01142857142858,Quito,Pichincha,D,8,1.0,1.0
3,DAIRY,2013-04-22,8530.0,0,91.46428571428571,Quito,Pichincha,D,8,0.0,0.0
3,DAIRY,2013-04-29,9348.0,0,93.92857142857143,Quito,Pichincha,D,8,2.0,1.0
3,DAIRY,2013-05-06,8999.0,0,95.83428571428571,Quito,Pichincha,D,8,3.0,1.0
3,DAIRY,2013-05-13,8608.0,0,94.9542857142857,Quito,Pichincha,D,8,0.0,0.0
